n,Xi(n),Omega(n),E(n),F(n),E_tail_upper,Omega_tail_upper_heuristic
158000,0.2101318662634895,0.6156302664753255,1.352477785415678,-0.526715652676863,0.00011843202578308959,9.127463647361495e-05
159000,0.2101318662639918,0.6156303307355525,1.3524784730204433,-0.526716276020899,0.00011774441686060004,9.070648464728268e-05
160000,0.2101318662644847,0.6156303941640359,1.3524791523868447,-0.526716891958324,0.00011706504637774009,9.014539488347814e-05
161000,0.21013186626496844,0.6156304568259371,1.3524798236639743,-0.5267175005730689,0.00011639376524015943,8.959123610631678e-05
162000,0.21013186626544325,0.6156305187278074,1.352480486997325,-0.5267181020040744,0.00011573042795330663,8.904388046654736e-05
163000,0.21013186626590935,0.6156305798557759,1.3524811425288983,-0.526718696407213,0.00011507489251400079,8.850320324282116e-05
164000,0.21013186626636696,0.615630640258409,1.352481790397309,-0.5267192838725331,0.00011442702030590935,8.796908274656565e-05
165000,0.21013186626681624,0.6156306999459588,1.3524824307378853,-0.5267198645251103,0.0001137866759987689,8.744140023030999e-05
166000,0.21013186626725747,0.6156307588957112,1.3524830636827676,-0.526720438519799,0.00011315372745119263,8.692003979931716e-05
167000,0.21013186626769076,0.6156308171589697,1.3524836893610004,-0.5267210059343399,0.00011252804561691678,8.64048883263843e-05
168000,0.21013186626811636,0.6156308747573103,1.3524843078986235,-0.5267215668731968,0.00011190950445434412,8.589583536967939e-05
169000,0.21013186626853442,0.6156309316366916,1.3524849194187603,-0.5267221215135343,0.00011129798083924991,8.539277309348895e-05
170000,0.21013186626894512,0.6156309878782417,1.3524855240417,-0.5267226698945132,0.00011069335448052208,8.489559619175701e-05
171000,0.21013186626934863,0.6156310434788791,1.3524861218849806,-0.5267232121367529,0.00011009550783881257,8.440420181430119e-05
172000,0.21013186626974512,0.6156310984130977,1.3524867130634675,-0.5267237483806246,0.00010950432604798343,8.391848949559735e-05
173000,0.21013186627013478,0.615631152722262,1.3524872976894275,-0.5267242786970308,0.00010891969683923569,8.34383610860289e-05
174000,0.21013186627051772,0.6156312064292998,1.3524878758726047,-0.5267248031727871,0.00010834151046781483,8.296372068550186e-05
175000,0.2101318662708941,0.6156312595036635,1.3524884477202888,-0.5267253219457312,0.00010776965964219074,8.249447457933124e-05
176000,0.21013186627126412,0.61563131198471,1.352489013337386,-0.5267258350814118,0.00010720403945561561,8.203053117630844e-05
177000,0.21013186627162786,0.6156313638887584,1.3524895728264827,-0.5267263426660965,0.00010664454731996637,8.157180094886387e-05
178000,0.21013186627198552,0.6156314152003918,1.3524901262879119,-0.5267268448155346,0.00010609108290178342,8.111819637524207e-05
179000,0.21013186627233715,0.6156314659496367,1.3524906738198126,-0.5267273415978387,0.00010554354806042071,8.066963188361131e-05
180000,0.210131866272683,0.6156315161523412,1.3524912155181916,-0.5267278330931674,0.00010500184678822626,8.02260237980321e-05
181000,0.21013186627302308,0.615631565773517,1.3524917514769805,-0.5267283194304405,0.00010446588515267545,7.978729028621323e-05
182000,0.2101318662733576,0.6156316148685745,1.3524922817880918,-0.5267288006461597,0.00010393557124038322,7.935335130898637e-05
183000,0.21013186627368663,0.6156316634390625,1.3524928065414725,-0.5267292768287234,0.000103410815102924,7.892412857143402e-05
184000,0.21013186627401031,0.615631711463373,1.352493325825158,-0.5267297480877746,0.00010289152870439166,7.84995454756075e-05
185000,0.21013186627432875,0.6156317589924303,1.352493839725321,-0.5267302144585619,0.0001023776258706344,7.807952707477545e-05
186000,0.2101318662746421,0.6156318060164687,1.3524943483263228,-0.526730676035212,0.00010186902224010259,7.766400002914508e-05
187000,0.21013186627495042,0.615631852524095,1.3524948517107587,-0.5267311329117133,0.00010136563521624968,7.725289256300103e-05
188000,0.21013186627525382,0.6156318985370848,1.3524953499595056,-0.526731585147167,0.0001008673839214292,7.684613442320946e-05
189000,0.21013186627555244,0.6156319440907703,1.352495843151766,-0.5267320327854432,0.00010037418915223345,7.644365683903664e-05
190000,0.21013186627584635,0.6156319891390627,1.3524963313651117,-0.5267324759502027,9.988597333622107e-05,7.604539248323377e-05
191000,0.21013186627613564,0.6156320337341864,1.3524968146755252,-0.5267329146652031,9.940266048998324e-05,7.565127543434186e-05
192000,0.21013186627642044,0.6156320778780823,1.3524972931574408,-0.5267333490029381,9.892417617850107e-05,7.5261241140172e-05
193000,0.2101318662767008,0.6156321215463917,1.3524977668837836,-0.5267337790606912,9.84504474757468e-05,7.48752263824186e-05
194000,0.21013186627697686,0.6156321647783167,1.3524982359260085,-0.5267342048707149,9.798140292648545e-05,7.449316924236499e-05
