n,F(n),|F(n) - F(Nmax)|,log10_error
120113,-0.6694171093557839,5.178778331960121e-05,-4.285772677757317
122806,-0.6694198947652149,4.9002373888606954e-05,-4.309782880343936
125558,-0.6694226234198082,4.6273719295331084e-05,-4.334665592254529
128373,-0.6694252989899935,4.359814911003568e-05,-4.360531947620418
131251,-0.6694279211852954,4.097595380814223e-05,-4.387470928451989
134193,-0.669430490703385,3.840643571850766e-05,-4.415595995350053
137201,-0.669433009083193,3.5888055910482386e-05,-4.445050067167397
140276,-0.669435476927648,3.342021145547047e-05,-4.475990806577473
143421,-0.669437896417874,3.10007212295238e-05,-4.508628202218671
146636,-0.6694402673101689,2.8629828934589874e-05,-4.5431812469132815
149923,-0.6694425908984062,2.63062406973269e-05,-4.5799412104873864
153284,-0.6694448683441541,2.4028794949448873e-05,-4.619268008635449
156720,-0.6694471001162978,2.1797022805691846e-05,-4.661602821411806
160233,-0.6694492874074945,1.9609731608971614e-05,-4.707528350316932
163825,-0.6694514311859407,1.7465953162765224e-05,-4.757807708793364
167497,-0.6694535318734047,1.5365265698785713e-05,-4.813459925448684
171252,-0.669455590995489,1.3306143614499888e-05,-4.875947793482166
175090,-0.6694576084212628,1.128871784072949e-05,-4.947355381929524
179015,-0.6694595860668827,9.311072220796746e-06,-5.031000304758425
183028,-0.6694615241915863,7.372947517181316e-06,-5.132358857522329
187131,-0.6694634236254793,5.473513624232318e-06,-5.2617337965672375
191326,-0.6694652851151188,3.6120239846892943e-06,-5.442249374531393
195615,-0.6694671093869857,1.7877521177878108e-06,-5.7476926988175
200000,-0.6694688971391035,0.0,-300.0
